,país,gênero,altura,peso,comida fav.,programa fav.,esporte fav.
113,EUA,M,176,80,Bagel,Friends,Basquete
114,EUA,F,184,100,Clam Chowder,Chicago Fire,Atletismo
115,Brasil,M,176,75,Tacos,Narcos,MMA
116,Brasil,M,180,80,Arroz Trop.,A Casa de Papel,Futebol
117,EUA,F,180,100,Bagel,A Casa de Papel,Futebol Am.
118,Brasil,F,192,105,Pizza,Friends,Natação
119,Brasil,F,184,95,Feijoada,Friends,Luta Livre
120,Brasil,M,184,75,Pizza,A Grande Família,Boliche
121,EUA,M,184,110,Arroz Trop.,A Usurpadora,Futebol Am.
122,EUA,F,176,80,Feijoada,A Casa de Papel,Natação
123,Brasil,F,188,85,Churrasco,A Casa de Papel,Esqui
124,Brasil,F,196,95,Bagel,Friends,Futebol Am.
125,EUA,M,172,105,Torta de Maçã,A Usurpadora,Natação
126,Brasil,F,180,90,Churrasco,Jeopardy,Basquete
127,Brasil,M,204,90,Acarajé,Jeopardy,Basquete
128,Brasil,F,204,80,Churrasco,Friends,Luta Livre
129,EUA,M,180,110,Pizza,WWE Smackdown,Boliche
130,EUA,F,192,85,Bagel,Jaspion,Futebol
131,EUA,F,188,90,Churrasco,Jeopardy,Luta Livre
132,EUA,M,204,125,Arroz Trop.,Narcos,Natação
133,EUA,M,192,90,Vatapá,Jeopardy,Esqui
134,EUA,M,200,110,Bagel,Jeopardy,Atletismo
135,Brasil,M,184,85,Bagel,A Casa de Papel,Natação
136,Brasil,M,176,85,Vatapá,Jaspion,Basebol
137,EUA,F,184,110,Clam Chowder,Jeopardy,Natação
138,Brasil,M,196,105,Feijoada,Friends,Boxe
139,Brasil,M,180,95,Hummus,Narcos,Atletismo
140,Brasil,F,196,65,Churrasco,A Casa de Papel,Natação
141,EUA,M,188,75,Tacos,Family Feud,Futebol Am.
142,Brasil,F,192,95,Hamburguer,Friends,Luta Livre
143,Brasil,F,176,85,Tacos,Law and Order,Atletismo
144,Brasil,M,204,115,Feijoada,Chaves,Natação
145,EUA,M,184,115,Clam Chowder,Narcos,Atletismo
146,EUA,M,180,105,Churrasco,Narcos,Basquete
147,Brasil,F,172,85,Clam Chowder,Cops,Vôlei
148,EUA,F,176,80,Bagel,Law and Order,Atletismo
149,Brasil,F,172,80,Clam Chowder,Friends,Natação
150,EUA,F,184,90,Tacos,WWE Smackdown,Futebol Am.
151,Brasil,F,188,90,Feijoada,Friends,Boliche
152,Brasil,M,192,110,Feijoada,Chicago Fire,Natação
153,Brasil,F,180,90,Acarajé,A Casa de Papel,Natação
154,EUA,F,184,80,Pizza,Chicago Fire,Atletismo
155,EUA,F,200,95,Churrasco,Family Feud,Boliche
156,Brasil,M,184,75,Churrasco,Jeopardy,Futebol
157,EUA,F,192,80,Tacos,Law and Order,Luta Livre
158,EUA,F,180,105,Hummus,Chaves,Boliche
159,Brasil,F,208,100,Pizza,A Casa de Papel,Boxe
160,EUA,F,184,95,Tacos,Chaves,Boxe
161,Brasil,F,180,80,Feijoada,Chicago Fire,Basquete
162,Brasil,F,184,90,Churrasco,Law and Order,MMA
163,EUA,F,180,90,Clam Chowder,Narcos,Boliche
164,Brasil,F,196,75,Clam Chowder,A Usurpadora,Natação
165,Brasil,F,188,80,Pizza,Jaspion,Basquete
166,Brasil,F,180,85,Vatapá,Friends,Futebol Am.
167,Brasil,F,176,110,Arroz Trop.,A Casa de Papel,Futebol
168,EUA,F,192,105,Torta de Maçã,Law and Order,Basebol
169,EUA,F,172,100,Pizza,WWE Smackdown,Basquete
170,EUA,M,180,95,Hummus,Jaspion,Boliche
171,EUA,M,204,105,Arroz Trop.,WWE Smackdown,Futebol Am.
172,EUA,M,184,95,Hummus,Law and Order,Basebol
173,EUA,M,184,100,Clam Chowder,Jeopardy,Basquete
174,EUA,M,196,110,Clam Chowder,Jeopardy,Boliche
175,Brasil,M,180,105,Arroz Trop.,A Usurpadora,Boxe
176,Brasil,F,172,75,Pizza,Narcos,MMA
177,EUA,M,184,90,Tacos,A Casa de Papel,Luta Livre
178,Brasil,M,172,65,Hamburguer,Chaves,Futebol
179,EUA,F,192,105,Clam Chowder,WWE Smackdown,Luta Livre
180,Brasil,F,184,85,Arroz Trop.,A Usurpadora,Futebol
181,EUA,M,176,100,Hamburguer,Jeopardy,Futebol
182,Brasil,M,196,85,Hamburguer,Friends,Boxe
183,Brasil,F,188,80,Tacos,WWE Smackdown,Basquete
184,Brasil,M,192,95,Bagel,Friends,Futebol Am.
185,EUA,M,192,75,Arroz Trop.,A Casa de Papel,Futebol Am.
186,Brasil,M,196,100,Churrasco,Jaspion,Boliche
187,EUA,F,200,100,Hamburguer,Friends,Luta Livre
188,Brasil,M,188,60,Pizza,Narcos,Atletismo
189,EUA,F,164,100,Bagel,Law and Order,Atletismo
190,EUA,M,172,120,Acarajé,A Usurpadora,Futebol Am.
191,Brasil,F,204,110,Acarajé,A Usurpadora,Boxe
192,Brasil,M,200,85,Hamburguer,Friends,Natação
193,Brasil,M,192,75,Feijoada,Law and Order,Basquete
194,Brasil,F,204,95,Pizza,A Usurpadora,MMA
195,EUA,M,184,115,Acarajé,Law and Order,Atletismo
196,EUA,M,180,90,Churrasco,Friends,Boxe
197,EUA,M,180,90,Hamburguer,A Casa de Papel,Boliche
198,Brasil,M,188,75,Churrasco,Cops,Basquete
199,EUA,M,188,105,Hummus,A Casa de Papel,Basquete
200,EUA,F,200,90,Pizza,Friends,Luta Livre
201,Brasil,F,172,75,Churrasco,Jaspion,Luta Livre
202,EUA,F,188,115,Hamburguer,Friends,Luta Livre
203,Brasil,M,196,85,Hummus,A Casa de Papel,Boliche
204,Brasil,M,196,120,Arroz Trop.,Friends,Basquete
205,Brasil,M,200,75,Arroz Trop.,WWE Smackdown,Natação
206,EUA,M,184,115,Arroz Trop.,Law and Order,Boxe
207,Brasil,F,204,95,Hamburguer,A Casa de Papel,Basquete
208,EUA,F,184,115,Hamburguer,WWE Smackdown,Natação
209,Brasil,M,180,80,Acarajé,Narcos,Atletismo
210,EUA,F,196,115,Hamburguer,Jeopardy,Basquete
211,EUA,F,200,110,Arroz Trop.,Family Feud,Basquete
212,EUA,F,192,80,Churrasco,Law and Order,Natação
213,Brasil,F,184,105,Acarajé,Narcos,Natação
214,Brasil,F,184,80,Feijoada,Law and Order,Futebol
215,EUA,F,164,85,Bagel,WWE Smackdown,Luta Livre
216,EUA,F,184,100,Hummus,Friends,Basebol
217,Brasil,M,192,125,Acarajé,Narcos,Atletismo
218,Brasil,M,188,115,Acarajé,WWE Smackdown,Atletismo
219,Brasil,F,184,55,Hamburguer,A Casa de Papel,Boxe
220,EUA,F,196,100,Hummus,Law and Order,Atletismo
221,EUA,F,204,110,Vatapá,Law and Order,Basebol
222,Brasil,M,180,110,Hummus,Narcos,Natação
223,Brasil,M,188,115,Bagel,Jaspion,Boliche
224,EUA,F,180,65,Clam Chowder,A Casa de Papel,Basquete
225,Brasil,F,184,90,Tacos,Chicago Fire,Futebol de Salão
226,Brasil,M,176,75,Churrasco,Law and Order,Basquete
227,Brasil,M,200,120,Churrasco,Jaspion,MMA
228,EUA,M,204,95,Feijoada,Law and Order,Basquete
229,EUA,M,204,95,Feijoada,Jeopardy,Futebol Am.
230,EUA,M,172,110,Vatapá,Chicago Fire,MMA
231,EUA,F,176,115,Hummus,Chicago Fire,Boliche
232,EUA,F,196,95,Pizza,WWE Smackdown,Esqui
233,EUA,F,204,80,Clam Chowder,Jeopardy,Boliche
234,Brasil,F,184,80,Acarajé,Jaspion,MMA
235,Brasil,F,188,95,Bagel,Narcos,Vôlei
236,Brasil,M,196,90,Hamburguer,Family Feud,Futebol
237,Brasil,M,192,80,Churrasco,A Usurpadora,Boliche
238,Brasil,M,176,70,Churrasco,Narcos,Boxe
239,EUA,F,204,90,Torta de Maçã,Narcos,Atletismo
240,Brasil,F,180,80,Feijoada,A Usurpadora,Futebol
241,EUA,M,196,100,Churrasco,Family Feud,Basebol
242,Brasil,F,184,100,Feijoada,Narcos,Boliche
243,Brasil,M,180,100,Bagel,A Usurpadora,Natação
244,Brasil,F,192,60,Feijoada,Friends,Natação
245,Brasil,M,204,75,Churrasco,Chaves,Atletismo
246,EUA,F,184,80,Clam Chowder,Chicago Fire,Boliche
247,EUA,F,200,95,Hamburguer,Law and Order,Boxe
248,EUA,M,184,110,Pizza,Narcos,Basebol
249,Brasil,M,180,75,Pizza,A Casa de Papel,Boxe
250,Brasil,F,208,90,Bagel,A Usurpadora,Boxe
251,Brasil,F,172,65,Tacos,Law and Order,Boliche
252,Brasil,M,188,75,Feijoada,WWE Smackdown,Natação
253,EUA,M,196,75,Hamburguer,Law and Order,Basquete
254,EUA,M,188,105,Tacos,Friends,Luta Livre
255,Brasil,F,196,90,Hamburguer,Narcos,Basquete
256,Brasil,F,180,105,Pizza,A Usurpadora,Luta Livre
257,EUA,F,180,85,Clam Chowder,A Usurpadora,MMA
258,Brasil,F,188,95,Pizza,A Casa de Papel,MMA
259,EUA,M,196,90,Feijoada,Chicago Fire,Luta Livre
260,EUA,M,192,90,Feijoada,Friends,Boliche
261,Brasil,F,192,75,Pizza,Chaves,Basquete
262,Brasil,F,172,95,Churrasco,Friends,Vôlei
263,Brasil,F,188,90,Torta de Maçã,Friends,Boxe
264,Brasil,F,184,80,Churrasco,Family Feud,Basquete
265,EUA,M,196,100,Hamburguer,A Casa de Papel,Basquete
266,EUA,F,176,105,Bagel,Law and Order,Vôlei
267,EUA,M,196,105,Clam Chowder,WWE Smackdown,Basebol
268,Brasil,F,176,100,Churrasco,Narcos,Basquete
269,EUA,M,188,105,Hummus,A Usurpadora,Vôlei
270,Brasil,M,204,85,Feijoada,Law and Order,Atletismo
271,EUA,F,188,110,Clam Chowder,Jeopardy,Atletismo
272,Brasil,M,196,75,Clam Chowder,Jaspion,Atletismo
273,Brasil,M,184,90,Arroz Trop.,WWE Smackdown,Natação
274,Brasil,F,200,80,Pizza,Jeopardy,Basquete
275,Brasil,F,168,70,Hamburguer,Jaspion,MMA
276,EUA,F,204,90,Hummus,Family Feud,Boxe
277,EUA,F,192,90,Pizza,Jeopardy,Luta Livre
278,EUA,F,168,100,Churrasco,Law and Order,Basquete
279,EUA,M,196,100,Hummus,Chicago Fire,Atletismo
280,EUA,F,184,105,Tacos,Narcos,Atletismo
281,EUA,M,180,95,Arroz Trop.,Friends,Futebol
282,EUA,F,168,105,Arroz Trop.,A Casa de Papel,Natação
283,EUA,F,180,100,Churrasco,Jeopardy,Luta Livre
284,Brasil,F,200,60,Torta de Maçã,Narcos,Atletismo
285,Brasil,M,172,100,Hummus,Jeopardy,Luta Livre
286,EUA,M,180,120,Torta de Maçã,A Usurpadora,Boxe
287,EUA,F,196,90,Hamburguer,A Casa de Papel,Vôlei
288,EUA,M,184,90,Pizza,Law and Order,Boliche
289,EUA,M,184,110,Clam Chowder,Law and Order,Atletismo
290,EUA,F,196,85,Tacos,Friends,Vôlei
291,EUA,F,176,100,Clam Chowder,A Casa de Papel,Boxe
292,Brasil,F,192,75,Feijoada,Friends,Boliche
293,Brasil,F,184,75,Acarajé,Law and Order,Boxe
294,Brasil,F,176,95,Churrasco,Narcos,Boliche
295,EUA,F,180,115,Hamburguer,A Casa de Papel,Natação
296,EUA,M,176,90,Feijoada,Narcos,Boxe
297,EUA,F,192,90,Churrasco,A Casa de Papel,Boliche
298,EUA,F,184,100,Churrasco,Friends,Boliche
299,EUA,M,172,100,Churrasco,WWE Smackdown,Boxe
300,Brasil,M,188,80,Torta de Maçã,A Usurpadora,Futebol Am.
301,Brasil,M,196,65,Pizza,WWE Smackdown,Basquete
302,EUA,F,184,125,Pizza,Jeopardy,MMA
303,Brasil,F,188,75,Hummus,Law and Order,Natação
304,EUA,F,200,100,Churrasco,Jeopardy,Boxe
305,Brasil,M,180,105,Hamburguer,Chicago Fire,Futebol Am.
306,Brasil,M,168,120,Churrasco,Narcos,Futebol de Salão
307,Brasil,M,196,95,Arroz Trop.,Jaspion,Futebol
308,EUA,F,172,110,Hamburguer,WWE Smackdown,Boliche
309,EUA,M,192,95,Bagel,Law and Order,Atletismo
310,EUA,F,200,120,Clam Chowder,Narcos,Basquete
311,Brasil,M,192,95,Feijoada,Chaves,Vôlei
312,Brasil,F,184,65,Churrasco,A Casa de Papel,Natação
313,Brasil,M,180,85,Feijoada,Narcos,Natação
314,EUA,M,176,105,Bagel,Chicago Fire,Luta Livre
315,EUA,M,200,95,Hummus,WWE Smackdown,Basquete
316,Brasil,M,180,90,Feijoada,Family Feud,Vôlei
317,Brasil,F,188,95,Vatapá,Jeopardy,Futebol de Salão
318,EUA,F,168,95,Tacos,Narcos,Atletismo
319,EUA,M,192,100,Hummus,WWE Smackdown,Basquete
320,Brasil,M,168,95,Arroz Trop.,Law and Order,Basquete
321,Brasil,M,192,105,Hamburguer,Narcos,MMA
322,EUA,M,192,95,Hamburguer,Narcos,Natação
323,EUA,F,200,75,Clam Chowder,Family Feud,Boxe
324,Brasil,F,184,65,Hamburguer,A Usurpadora,Boxe
325,Brasil,M,188,80,Arroz Trop.,Narcos,Boxe
326,Brasil,F,176,65,Churrasco,Law and Order,Basebol
327,EUA,F,180,75,Clam Chowder,Chicago Fire,Basebol
328,Brasil,M,172,85,Hummus,Law and Order,Basquete
329,EUA,M,188,100,Tacos,Jaspion,Basebol
330,EUA,M,196,90,Hummus,Jeopardy,Basquete
331,EUA,M,172,95,Tacos,A Usurpadora,Boxe
332,EUA,M,180,110,Churrasco,Chicago Fire,Basquete
333,EUA,F,188,95,Tacos,Jeopardy,Natação
334,EUA,F,208,120,Pizza,A Usurpadora,Basquete
335,Brasil,M,168,75,Churrasco,Chicago Fire,Basquete
336,EUA,M,196,125,Pizza,Friends,Boliche
337,Brasil,M,196,85,Hummus,Friends,Basquete
338,Brasil,M,192,70,Hamburguer,Chicago Fire,Natação
339,EUA,F,184,120,Tacos,Narcos,Futebol Am.
340,Brasil,F,172,90,Acarajé,Chaves,Futebol
341,EUA,M,172,85,Feijoada,WWE Smackdown,MMA
342,EUA,F,184,80,Hummus,Narcos,Natação
343,EUA,M,184,105,Hamburguer,Law and Order,Basquete
344,EUA,M,172,110,Pizza,Law and Order,Basquete
345,EUA,F,200,105,Feijoada,A Casa de Papel,Boxe
346,Brasil,F,192,90,Hummus,A Usurpadora,Natação
347,Brasil,M,188,95,Acarajé,Chicago Fire,Atletismo
348,EUA,F,200,95,Pizza,WWE Smackdown,Atletismo
349,Brasil,F,192,55,Vatapá,Jaspion,Futebol
350,Brasil,F,188,100,Arroz Trop.,Law and Order,Natação
351,Brasil,F,176,70,Clam Chowder,A Usurpadora,Boxe
352,EUA,M,188,120,Pizza,Cops,Luta Livre
353,Brasil,M,192,90,Hummus,Narcos,Boxe
354,Brasil,F,176,75,Pizza,A Usurpadora,Boxe
355,Brasil,F,192,90,Acarajé,A Usurpadora,Futebol
356,Brasil,M,184,90,Bagel,Jaspion,Atletismo
357,EUA,M,200,95,Hamburguer,WWE Smackdown,Atletismo
358,Brasil,F,188,105,Arroz Trop.,A Casa de Papel,Atletismo
359,Brasil,F,172,90,Churrasco,Friends,Natação
360,EUA,F,192,75,Bagel,WWE Smackdown,Boliche
361,Brasil,M,192,110,Arroz Trop.,Chaves,Luta Livre
362,Brasil,M,184,115,Feijoada,Friends,Boliche
363,Brasil,F,172,90,Feijoada,A Casa de Papel,Basquete
364,EUA,F,192,120,Pizza,Jaspion,Boliche
365,Brasil,F,168,90,Clam Chowder,Narcos,Esqui
366,Brasil,M,180,80,Bagel,Friends,Basquete
367,Brasil,M,208,75,Arroz Trop.,Law and Order,MMA
368,EUA,F,192,110,Hummus,Law and Order,Boxe
369,Brasil,F,184,85,Acarajé,Chicago Fire,Atletismo
370,EUA,M,168,90,Hummus,Chicago Fire,Atletismo
371,Brasil,M,200,115,Hamburguer,A Casa de Papel,Boliche
372,EUA,F,180,90,Hamburguer,Friends,Atletismo
373,EUA,M,188,90,Pizza,Law and Order,Basebol
374,Brasil,F,192,95,Acarajé,Narcos,Vôlei
375,Brasil,M,196,95,Churrasco,Jeopardy,Atletismo
376,Brasil,M,184,100,Arroz Trop.,Narcos,Boxe
377,Brasil,F,196,95,Bagel,Friends,Futebol Am.
378,Brasil,M,172,75,Hamburguer,Narcos,MMA
379,EUA,F,200,95,Churrasco,Law and Order,Luta Livre
380,EUA,M,188,115,Clam Chowder,WWE Smackdown,Boxe
381,EUA,M,172,85,Bagel,Narcos,Basquete
382,Brasil,F,200,85,Feijoada,A Usurpadora,Futebol Am.
383,EUA,M,196,85,Pizza,Law and Order,Boliche
384,Brasil,F,176,85,Tacos,Chicago Fire,Boliche
385,EUA,F,200,95,Churrasco,Jeopardy,Futebol Am.
386,Brasil,M,192,90,Hamburguer,Narcos,Natação
387,Brasil,F,184,95,Arroz Trop.,A Casa de Papel,Boxe
388,Brasil,F,188,90,Pizza,Friends,Futebol
389,Brasil,F,188,95,Pizza,Friends,Futebol
390,Brasil,F,192,70,Pizza,Jeopardy,Futebol de Salão
391,Brasil,F,188,95,Churrasco,Jeopardy,Atletismo
392,Brasil,F,192,75,Hummus,Jaspion,MMA
393,EUA,M,172,80,Hummus,Friends,Boliche
394,EUA,F,192,80,Tacos,Chicago Fire,Boxe
395,EUA,M,200,90,Hummus,Narcos,Basquete
396,Brasil,F,184,60,Feijoada,A Usurpadora,Luta Livre
397,Brasil,M,168,85,Hamburguer,A Usurpadora,Natação
398,Brasil,F,168,115,Arroz Trop.,Jaspion,Boliche
399,EUA,F,196,95,Feijoada,Law and Order,MMA
400,Brasil,M,196,115,Arroz Trop.,Law and Order,Boliche
401,Brasil,F,172,75,Hummus,Law and Order,Futebol
402,Brasil,F,192,75,Churrasco,Narcos,Luta Livre
403,EUA,F,188,105,Hummus,Friends,Boliche
404,Brasil,F,184,85,Hamburguer,Family Feud,Futebol Am.
405,EUA,M,192,90,Tacos,WWE Smackdown,Futebol Am.
406,EUA,F,180,95,Pizza,WWE Smackdown,Boliche
407,EUA,F,196,95,Churrasco,WWE Smackdown,Natação
408,EUA,M,196,85,Tacos,Narcos,Boxe
409,Brasil,M,188,80,Hamburguer,Jaspion,Boxe
410,Brasil,F,188,80,Pizza,A Casa de Papel,Atletismo
411,EUA,M,192,95,Hamburguer,Family Feud,MMA
412,EUA,M,196,110,Bagel,Friends,Atletismo
413,Brasil,M,176,75,Bagel,Jaspion,Basquete
414,EUA,F,172,85,Tacos,Law and Order,Futebol Am.
415,EUA,F,188,70,Tacos,Chicago Fire,Boxe
416,Brasil,M,176,90,Bagel,WWE Smackdown,MMA
417,EUA,F,164,80,Hamburguer,Family Feud,Futebol Am.
418,EUA,M,192,90,Clam Chowder,WWE Smackdown,Natação
419,Brasil,F,172,110,Feijoada,A Usurpadora,Basquete
420,EUA,F,180,95,Hamburguer,WWE Smackdown,Esqui
421,Brasil,M,184,85,Hamburguer,A Casa de Papel,Vôlei
422,Brasil,M,208,85,Vatapá,Jeopardy,Boxe
423,EUA,M,204,95,Tacos,Law and Order,Boliche
424,EUA,M,188,75,Arroz Trop.,Jeopardy,Boxe
425,Brasil,M,196,105,Churrasco,WWE Smackdown,Futebol de Salão
426,EUA,F,164,105,Hummus,Family Feud,Basebol
427,Brasil,M,172,115,Feijoada,Friends,Natação
428,Brasil,F,188,90,Feijoada,Friends,Natação
429,Brasil,F,180,90,Clam Chowder,Narcos,Basquete
430,Brasil,M,188,100,Feijoada,WWE Smackdown,MMA
431,Brasil,F,200,65,Churrasco,A Usurpadora,Boxe
432,EUA,M,196,115,Torta de Maçã,A Casa de Papel,Basquete
433,EUA,F,200,80,Hamburguer,Law and Order,Basquete
434,Brasil,F,192,90,Arroz Trop.,A Casa de Papel,Futebol
435,Brasil,M,180,80,Hummus,Law and Order,Luta Livre
436,EUA,F,176,85,Hummus,Jeopardy,Atletismo
437,Brasil,F,204,105,Churrasco,A Usurpadora,Basquete
438,EUA,F,196,105,Clam Chowder,Friends,Atletismo
439,EUA,M,204,95,Hummus,WWE Smackdown,Futebol Am.
440,Brasil,M,204,115,Acarajé,Friends,Boxe
441,EUA,M,196,110,Churrasco,Law and Order,Futebol Am.
442,Brasil,M,180,85,Bagel,Friends,Boxe
443,Brasil,F,188,65,Pizza,Friends,Boliche
444,EUA,F,208,105,Clam Chowder,Family Feud,Futebol Am.
445,Brasil,F,176,75,Pizza,Narcos,MMA
446,Brasil,F,184,90,Hummus,Jaspion,MMA
447,Brasil,M,192,100,Pizza,Law and Order,Basquete
448,Brasil,F,168,105,Churrasco,Narcos,Boliche
449,Brasil,M,184,115,Arroz Trop.,Friends,Atletismo
450,EUA,M,180,95,Arroz Trop.,WWE Smackdown,MMA
451,EUA,F,192,105,Bagel,Narcos,Futebol Am.
452,Brasil,M,180,90,Hummus,Law and Order,Boxe
453,Brasil,F,192,90,Hamburguer,Chaves,Basquete
